Ordem;Família;Nomes científicos;Nomes populares;Status;FO;Altura;,;AL
Accipitriformes;Accipitridae;Accipiter striatus (Vieillot, 1808);tauató-miúdo;;1;;;O
Accipitriformes;Accipitridae;Amadonastur lacernulatus (Temminck, 1827);gavião-pombo-pequeno;"End; VU-IUCN; VUBr; Am-SP";1;;;O
Apodiformes;Trochilidae;Amazilia lactea (Lesson, 1832);;;56;;;C
Apodiformes;Trochilidae;Amazilia versicolor (Vieillot, 1818);;;;;;*
Psittaciformes;Psittacidae;Amazona aestiva (Linnaeus, 1758);;;56;;;C
Anseriformes;Anatidae;Amazonetta brasiliensis (Gmelin, 1789);ananaí;;42;;;I
Anseriformes;Anatidae;Anas bahamensis (Linnaeus, 1758);marreca-toicinho;;1;;;O
Anseriformes;Anatidae;Anas flavirostris (Vieillot, 1816);marreca-pardinha;;54;;;C
Suliformes;Anhingidae;Anhinga anhinga (Linnaeus, 1766);biguatinga;;26;;;I
Gruiformes;Aramidae;Aramides cajaneus (Statius Muller, 1776);;;1;;;O
Gruiformes;Aramidae;Aramides saracura (Spix, 1825);;;62;;;C
Gruiformes;Aramidae;Aramus guarauna (Linnaeus, 1766);;;26;;;I
Pelecaniformes;Ardeidae;Ardea alba (Linnaeus, 1758);garça-branca;;84;;;M
Pelecaniformes;Ardeidae;Ardea cocoi (Linnaeus, 1766);garça-moura;;61;;;C
Strigiformes;Tytonidae;Asio clamator (Vieillot, 1808);;;;;;*
Strigiformes;Tytonidae;Asio stygius (Wagler, 1832);;;;;;*
Strigiformes;Tytonidae;Athene cunicularia (Molina, 1782);;;;;;*
Passeriformes;Parulidae;Basileuterus culicivorus (Deppe, 1830);;;100;;;M
Psittaciformes;Psittacidae;Brotogeris tirica (Gmelin, 1788);;;93;;;M
Accipitriformes;Accipitridae;Buteo brachyurus (Vieillot, 1816);;;1;;;O
Pelecaniformes;Ardeidae;Butorides striata (Linnaeus, 1758);socozinho;;26;;;I
Passeriformes;Icteridae;Cacicus haemorrhous (Linnaeus, 1766);;;55;;;C
Anseriformes;Anatidae;Cairina moschata (Linnaeus, 1758);pato-do-mato;;7;;;R
Passeriformes;Tyrannidae;Camptostoma obsoletum (Temminck, 1824);;;84;;;M
Falconiformes;Falconidae;Caracara plancus (Miller, 1777);;;30;;;I
Piciformes;Ramphastidae;Celeus flavescens (Gmelin, 1788);;;72;;;C
Passeriformes;Furnariidae;Certhiaxis cinnamomeus (Gmelin, 1788);;;;;;*
Apodiformes;Apodidae;Chaetura meridionalis (Hellmayr, 1907);;;9;;;R
Coraciiformes;Alcedinidae;Chloroceryle amazona (Latham, 1790);;;10;;;R
Coraciiformes;Alcedinidae;Chloroceryle americana (Gmelin, 1788);;;10;;;R
Apodiformes;Trochilidae;Chlorostilbon lucidus (Shaw, 1812);;;3;;;R
Passeriformes;Thraupidae;Coereba flaveola (Linnaeus, 1758);;;91;;;M
Piciformes;Ramphastidae;Colaptes campestris (Vieillot, 1818);;;6;;;R
Piciformes;Ramphastidae;Colaptes melanochloros (Gmelin, 1788);;;6;;;R
Columbiformes;Columbidae;Columba livia (Gmelin, 1789);;;42;;;I
Columbiformes;Columbidae;Columbina talpacoti (Temminck, 1810);;;85;;;M
Passeriformes;Thraupidae;Conirostrum speciosum (Temminck, 1824);;;17;;;I
Passeriformes;Conopophagidae;Conopophaga lineata (Wied, 1831);;;90;;;M
Cathartiformes;Cathartidae;Coragyps atratus (Bechstein, 1793);urubu;;94;;;M
Passeriformes;Furnariidae;Cranioleuca pallida (Wied, 1831);;;42;;;I
Cuculiformes;Cuculidae;Crotophaga ani (Linnaeus, 1758);;;9;;;R
Passeriformes;Corvidae;Cyanocorax chrysops (Vieillot, 1818);;;20;;;I
Passeriformes;Vireonidae;Cyclarhis gujanensis (Gmelin, 1789);;;65;;;C
Passeriformes;Thraupidae;Dacnis cayana (Linnaeus, 1766);;;22;;;I
Anseriformes;Anatidae;Dendrocygna autumnalis (Linnaeus, 1758);marreca-cabloca;;3;;;R
Anseriformes;Anatidae;Dendrocygna bicolor (Vieillot, 1816);marreca-caneleira;;45;;;I
Anseriformes;Anatidae;Dendrocygna viduata (Linnaeus, 1766);irerê;;71;;;C
Piciformes;Ramphastidae;Dryocopus lineatus (Linnaeus, 1766);;;56;;;C
Pelecaniformes;Ardeidae;Egretta thula (Molina, 1782);garça-branca-pequena;;67;;;C
Passeriformes;Tyrannidae;Elaenia flavogaster (Thunberg, 1822);;;3;;;R
Accipitriformes;Accipitridae;Elanus leucurus (Vieillot, 1818);gavião-peneira;;1;;;O
Passeriformes;Tyrannidae;Empidonomus varius (Vieillot, 1818);;;25;;;I
Apodiformes;Trochilidae;Eupetomena macroura (Gmelin, 1788);;;38;;;I
Passeriformes;Fringillidae;Euphonia chlorotica (Linnaeus, 1766);;;43;;;I
Passeriformes;Fringillidae;Euphonia cyanocephala (Vieillot, 1818);;;26;;;I
Passeriformes;Fringillidae;Euphonia violacea (Linnaeus, 1758);;;9;;;R
Falconiformes;Falconidae;Falco femoralis (Temminck, 1822);;;4;;;R
Falconiformes;Falconidae;Falco peregrinus (Tunstall, 1771);;;1;;;O
Passeriformes;Tyrannidae;Fluvicola nengeta (Linnaeus, 1766);;;33;;;I
Passeriformes;Furnariidae;Furnarius rufus (Gmelin, 1788);;;23;;;I
Gruiformes;Aramidae;Gallinula galeata (Lichtenstein, 1818);;;81;;;M
Passeriformes;Parulidae;Geothlypis aequinoctialis (Gmelin, 1789);;;23;;;I
Columbiformes;Columbidae;Geotrygon montana (Linnaeus, 1758);;;14;;;R
Accipitriformes;Accipitridae;Geranoaetus albicaudatus (Vieillot, 1816);;;3;;;R
Passeriformes;Icteridae;Gnorimopsar chopi (Vieillot, 1819);;;17;;;I
Cuculiformes;Cuculidae;Guira guira (Gmelin, 1788);;;1;;;O
Passeriformes;Thraupidae;Haplospiza unicolor (Cabanis, 1851);;;1;;;O
Accipitriformes;Accipitridae;Harpagus diodon (Temminck, 1823);gavião-bombachinha;;1;;;O
Passeriformes;Thraupidae;Hemithraupis ruficapilla (Vieillot, 1818);;;10;;;R
Passeriformes;Rynchocyclidae;Hemitriccus orbitatus (Wied, 1831);;;14;;;R
Accipitriformes;Accipitridae;Ictinia plumbea (Gmelin, 1788);sovi;;1;;;O
Charadriiformes;Charadriidae;Jacana jacana (Linnaeus, 1766);;;30;;;I
Passeriformes;Tyrannidae;Lathrotriccus euleri (Cabanis, 1868);;;55;;;C
Passeriformes;Tyrannidae;Legatus leucophaius (Vieillot, 1818);;;1;;;O
Accipitriformes;Accipitridae;Leptodon cayanensis (Latham, 1790);gavião-gato;;3;;;R
Passeriformes;Rynchocyclidae;Leptopogon amaurocephalus (Tschudi, 1846);;;1;;;O
Columbiformes;Columbidae;Leptotila rufaxilla (Richard & Bernard, 1792);;;38;;;I
Columbiformes;Columbidae;Leptotila verreauxi (Bonaparte, 1855);;;22;;;I
Apodiformes;Trochilidae;Leucochloris albicollis (Vieillot, 1818);;;1;;;O
Caprimulgiformes;Tytonidae;Lurocalis semitorquatus (Gmelin, 1789);;;9;;;R
Passeriformes;Tyrannidae;Machetornis rixosa (Vieillot, 1819);;;30;;;I
Coraciiformes;Alcedinidae;Megaceryle torquata (Linnaeus, 1766);;;26;;;I
Passeriformes;Tyrannidae;Megarynchus pitangua (Linnaeus, 1766);;;65;;;C
Strigiformes;Tytonidae;Megascops choliba (Vieillot, 1817);;;10;;;R
Falconiformes;Falconidae;Micrastur semitorquatus (Vieillot, 1817);;;10;;;R
Falconiformes;Falconidae;Milvago chimachima (Vieillot, 1816);;;20;;;I
Passeriformes;Momidae;Mimus saturninus (Lichtenstein, 1823);;;1;;;O
Passeriformes;Icteridae;Molothrus bonariensis (Gmelin, 1789);;;41;;;I
Passeriformes;Tyrannidae;Myiarchus ferox (Gmelin, 1789);;;1;;;O
Passeriformes;Tyrannidae;Myiarchus swainsoni (Cabanis & Heine, 1859);;;14;;;R
Passeriformes;Tyrannidae;Myiodynastes maculatus (Statius Muller, 1776);;;29;;;I
Passeriformes;Tyrannidae;Myiozetetes similis (Spix, 1825);;;72;;;C
Suliformes;Phalacrocorocidae;Nannopterum brasilianus brasilianus (Gmelin, 1789);biguá;;77;;;M
Pelecaniformes;Ardeidae;Nycticorax nycticorax (Linnaeus, 1758);socó-dorminhoco;;71;;;C
Caprimulgiformes;Tytonidae;Nyctidromus albicollis (Gmelin, 1789);;;3;;;R
Passeriformes;Tityridae;Pachyramphus validus (Lichtenstein, 1823);;;28;;;I
Accipitriformes;Accipitridae;Parabuteo unicinctus (Temminck, 1824);;;;;;*
Gruiformes;Aramidae;Pardirallus nigricans (Vieillot, 1819);;;7;;;R
Passeriformes;Passeridae;Passer domesticus (Linnaeus, 1758);;;;;;*
Columbiformes;Columbidae;Patagioenas picazuro (Temminck, 1813);;;80;;;M
Galliformes;Cracidae;Penelope obscura bronzina (Hellmayr, 1914);jacuguaçu;;19;;;I
Galliformes;Cracidae;Penelope superciliaris (Temminck, 1815);jacupemba;QAm-SP;51;;;C
Passeriformes;Tyrannidae;Phyllomyias fasciatus (Thunberg, 1822);;;12;;;R
Cuculiformes;Cuculidae;Piaya cayana (Linnaeus, 1766);;;84;;;M
Piciformes;Ramphastidae;Picumnus temminckii (Lafresnaye, 1845);;;90;;;M
Psittaciformes;Psittacidae;Pionus maximiliani (Kuhl, 1820);;;7;;;R
Passeriformes;Thraupidae;Pipraeidea melanonota (Vieillot, 1819);;;3;;;R
Passeriformes;Tyrannidae;Pitangus sulphuratus (Linnaeus, 1766);;;97;;;M
Pelecaniformes;Threskiornithidae;Platalea ajaja (Linnaeus, 1758);colhereiro;;17;;;I
Podicipediformes;Podicipedidae;Podilymbus podiceps  (Linnaeus, 1758);mergulhão-caçador;;9;;;R
Passeriformes;Cotingidae;Procnias nudicollis (Vieillot, 1817);;;;;;*
Passeriformes;Hirundinidae;Progne tapera (Vieillot, 1817);;;1;;;O
Passeriformes;Hirundinidae;Pygochelidon cyanoleuca (Vieillot, 1817);;;23;;;I
Passeriformes;Cotingidae;Pyroderus scutatus (Shaw, 1792);;;;;;*
Psittaciformes;Psittacidae;Pyrrhura frontalis (Vieillot, 1817);;;87;;;M
Piciformes;Ramphastidae;Ramphastos dicolorus (Linnaeus, 1766);;;75;;;M
Passeriformes;Thraupidae;Ramphocelus bresilius (Linnaeus, 1766);;;10;;;R
Passeriformes;Thraupidae;Ramphocelus carbo (Pallas, 1764);;;4;;;R
Accipitriformes;Accipitridae;Rostrhamus sociabilis (Vieillot, 1817);gavião-caramujeiro;;10;;;R
Accipitriformes;Accipitridae;Rupornis magnirostris (Gmelin, 1788);;;52;;;C
Passeriformes;Thraupidae;Saltator similis (d’Orbigny & Lafresnaye, 1837);;;46;;;I
Anseriformes;Anatidae;Sarkidiornis sylvicola (Ihering & Ihering, 1907);pato-de-crista;Am-SP;;;;*
Passeriformes;Parulidae;Setophaga pitiayumi (Vieillot, 1817);;;23;;;I
Passeriformes;Thraupidae;Sicalis flaveola (Linnaeus, 1766);;;3;;;R
Accipitriformes;Accipitridae;Spizaetus tyrannus (Wied, 1820);;;1;;;O
Passeriformes;Thraupidae;Sporophila caerulescens (Vieillot, 1823);;;3;;;R
Passeriformes;Furnariidae;Synallaxis ruficapilla (Vieillot, 1819);;;84;;;M
Passeriformes;Furnariidae;Synallaxis spixi (Sclater, 1856);;;13;;;R
Podicipediformes;Podicipedidae;Tachybaptus dominicus (Linnaeus, 1766);mergulhão-pequeno;;1;;;O
Passeriformes;Thraupidae;Tachyphonus coronatus (Vieillot, 1822);;;83;;;M
Passeriformes;Thraupidae;Tangara palmarum (Wied, 1821);;;56;;;C
Passeriformes;Thraupidae;Tangara sayaca (Linnaeus, 1766);;;97;;;M
Passeriformes;Thraupidae;Tangara seledon (Statius Muller, 1776);;;3;;;R
Passeriformes;Thraupidae;Tersina viridis (Illiger, 1811);;;4;;;R
Passeriformes;Thamnophilidae;Thamnophilus caerulescens (Vieillot, 1816);;;7;;;R
Passeriformes;Thraupidae;Thlypopsis sordida (d’Orbigny & Lafresnaye, 1837);;;39;;;I
Passeriformes;Tityridae;Tityra cayana (Linnaeus, 1766);;;3;;;R
Passeriformes;Tityridae;Tityra inquisitor (Lichtenstein, 1823);;;;;;*
Passeriformes;Rynchocyclidae;Todirostrum cinereum (Linnaeus, 1766);;;6;;;R
Passeriformes;Thraupidae;Trichothraupis melanops (Vieillot, 1818);;;55;;;C
Charadriiformes;Charadriidae;Tringa solitaria (Wilson, 1813);;;;;;*
Passeriformes;Troglodytidae;Troglodytes musculus (Naumann, 1823);;;96;;;M
Passeriformes;Turdidae;Turdus albicollis (Vieillot, 1818);;;7;;;R
Passeriformes;Turdidae;Turdus amaurochalinus (Cabanis, 1850);;;20;;;I
Passeriformes;Turdidae;Turdus flavipes (Vieillot, 1818);;;30;;;I
Passeriformes;Turdidae;Turdus leucomelas (Vieillot, 1818);;;91;;;M
Passeriformes;Turdidae;Turdus rufiventris (Vieillot, 1818);;;100;;;M
Passeriformes;Turdidae;Turdus subalaris (Seebohm, 1887);;;1;;;O
Passeriformes;Tyrannidae;Tyrannus melancholicus (Vieillot, 1819);;;45;;;I
Passeriformes;Tyrannidae;Tyrannus savana (Daudin, 1802);;;9;;;R
Strigiformes;Tytonidae;Tyto furcata (Temminck, 1827);;;;;;*
Charadriiformes;Charadriidae;Vanellus chilensis (Molina, 1782);;;87;;;M
Piciformes;Ramphastidae;Veniliornis spilogaster (Wagler, 1827);;;78;;;M
Passeriformes;Vireonidae;Vireo chivi (Vieillot, 1817);;;26;;;I
Passeriformes;Dendrocolaptidae;Xiphorhynchus fuscus (Vieillot, 1818);;;22;;;I
Columbiformes;Columbidae;Zenaida auriculata (Des Murs, 1847);;;12;;;R
Passeriformes;Passerellidae;Zonotrichia capensis (Statius Muller, 1776);;;45;;;I
